1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
44	42.999	616521.778	3097737.282	633.728	5.999	0	Normal	0.08	1	50.95	1.597499115	9.583397192	1.042353604	5.316486313	635.3254991	636.7661223	0.006017441	1.342981046	35.26686247	0	1	2.883200944	17.29632246	1.470100438	2.945712888	636.6112009	637.0534652	0.001167976	0.553883535	40.2334765	-0.000927749	1	2.883200944	636.6112009	637.0534652			0	0	0	0	0.553883535	Subcritical	0.001167976
45	43.999	616521.203	3097736.464	633.726	5.999	0	Normal	0.08	1	50.95	1.614475141	9.685236371	1.04955446	5.260584053	635.3404751	636.7509616	0.005837727	1.321854882	35.14007643	0	1	2.882967236	17.29492045	1.470039675	2.945951683	636.6089672	637.0513032	0.00116823	0.553950888	40.2306746	-0.000928488	1	2.882967236	636.6089672	637.0513032			0	0	0	0	0.553950888	Subcritical	0.00116823
46	44.999	616520.629	3097735.645	633.724	5.999	0	Normal	0.033	1	50.95	1.63338847	9.798697429	1.057514928	5.199670708	635.3573885	636.7353995	0.005646147	1.298962443	35.00796504	0	1	2.882784347	17.2938233	1.469992122	2.946138579	636.6067843	637.0491764	0.001168429	0.554003604	40.22848233	-0.000929072	1	2.882784347	636.6067843	637.0491764			0	0	0	0	0.554003604	Subcritical	0.001168429
47	45.998	616520.055	3097734.827	633.722	5.999	0	Normal	0.014	0.999	50.95	1.656095276	9.934915563	1.066986601	5.128377758	635.3780953	636.7185774	0.005427468	1.272339016	34.86173594	-1.7053E-12	1	2.88262319	17.29285652	1.469950217	2.946303287	636.6046232	637.0470647	0.001168604	0.554050063	40.22655083	-0.000978237	1	2.88262319	636.6046232	637.0470647			0	0	0	0	0.554050063	Subcritical	0.001168604
48	46.999	616519.48	3097734.008	633.682	5.999	0	Normal	0.014	1.001	50.95	1.615616319	9.692082296	1.050036622	5.256868281	635.2976163	636.7061109	0.005825915	1.320454606	35.13183439	-1.47793E-12	1	2.930534114	17.58027415	1.482308011	2.898134555	636.6125341	637.0406271	0.001118154	0.540518609	40.8117798	-0.000973349	1	2.930534114	636.6125341	637.0406271			0	0	0	0	0.540518609	Subcritical	0.001118154
49	47.998	616518.906	3097733.19	633.642	5.999	0	Normal	0.014	0.999	50.95	1.581013188	9.484498115	1.035309552	5.371923678	635.2230132	636.693837	0.006199384	1.3640415	35.39761043	-1.59162E-12	1	2.977917615	17.86452777	1.494334922	2.852020532	636.6199176	637.0344957	0.001071249	0.527669272	41.41202773	-0.000976465	1	2.977917615	636.6199176	637.0344957			0	0	0	0	0.527669272	Subcritical	0.001071249
50	48.999	616518.331	3097732.371	633.602	5.999	0	Normal	0.014	1.001	50.95	1.550681156	9.302536255	1.022216032	5.47700096	635.1526812	636.6816077	0.006554575	1.404258491	35.65842374	-1.7053E-12	1	3.024808936	18.14582881	1.506050653	2.807807818	636.6268089	637.0286328	0.001027538	0.515446864	42.02668765	-0.00099743	1	3.024808936	636.6268089	637.0286328			0	0	0	0	0.515446864	Subcritical	0.001027538
51	49.998	616517.757	3097731.553	633.562	5.993	0	Normal	0.014	0.999	50.95	1.526302248	9.147129371	1.01122367	5.570053503	635.0883022	636.6696221	0.006877622	1.43947654	35.90971709	-1.59162E-12	1	3.070568673	18.40191806	1.516541105	2.76873312	636.6325687	637.0232865	0.000989933	0.504472137	42.63209017	-0.000933584	1	3.070568673	636.6325687	637.0232865			0	0	0	0	0.504472137	Subcritical	0.000989933
52	50.999	616517.182	3097730.734	633.522	5.967	0	Normal	0.014	1.001	50.95	1.51294643	9.027751347	1.003876226	5.643708831	635.0349464	636.6583638	0.007129704	1.464934883	36.14086931	-1.7053E-12	1	3.113880389	18.58052428	1.523648116	2.742118534	636.6358804	637.0191227	0.000964959	0.496136019	43.17045106	-0.000972186	1	3.113880389	636.6358804	637.0191227			0	0	0	0	0.496136019	Subcritical	0.000964959
53	51.998	616516.608	3097729.916	633.482	5.94	0	Normal	0.014	0.999	50.95	1.501282118	8.917615779	0.997210145	5.713410542	634.9832821	636.6470466	0.007372099	1.488777416	36.36755415	-1.7053E-12	1	3.15681628	18.7514887	1.530279989	2.717117601	636.6388163	637.0151021	0.000941972	0.488257899	43.70934153	-0.000883265	1	3.15681628	636.6388163	637.0151021			0	0	0	0	0.488257899	Subcritical	0.000941972
54	52.999	616516.033	3097729.097	633.442	5.914	0	Normal	0.047	1.001	50.95	1.490358165	8.81397819	0.99092291	5.78059066	634.9323582	636.6354789	0.007610394	1.5117932	36.59052981	-1.93268E-12	1	3.199730477	18.92320604	1.536790194	2.692461303	636.6417305	637.0112181	0.000919734	0.480571783	44.25836175	-0.00092058	1	3.199730477	636.6417305	637.0112181			0	0	0	0	0.480571783	Subcritical	0.000919734
55	53.999	616515.459	3097728.278	633.402	5.888	0	Normal	0.08	1	50.95	1.480459631	8.716946305	0.98508598	5.844936772	634.8824596	636.6237076	0.007842297	1.533723349	36.80927429	-1.81899E-12	1	3.242381698	19.09114344	1.542997536	2.668776764	636.6443817	637.0073975	0.00089878	0.473201023	44.81115932	-0.000963319	1	3.242381698	636.6443817	637.0073975			0	0	0	0	0.473201023	Subcritical	0.00089878
56	54.999	616514.884	3097727.46	633.362	5.861	0	Normal	0.08	1	50.95	1.471820206	8.626338227	0.979749067	5.90632997	634.8338202	636.6118393	0.008066122	1.554375069	37.02379681	-1.81899E-12	1	3.284699731	19.25162512	1.548753536	2.646529822	636.6466997	637.0036885	0.000879481	0.466223812	45.36313272	-0.00087639	1	3.284699731	636.6466997	637.0036885			0	0	0	0	0.466223812	Subcritical	0.000879481
57	55.999	616514.31	3097726.641	633.322	5.835	0	Normal	0.033	1	50.95	1.463457562	8.539274874	0.974590002	5.96654877	634.7854576	636.5999175	0.008289588	1.57470289	37.23677773	-2.04636E-12	1	3.327084567	19.41353845	1.554429942	2.624457161	636.6490846	637.0001435	0.000860663	0.459381038	45.92583254	-0.000914914	1	3.327084567	636.6490846	637.0001435			0	0	0	0	0.459381038	Subcritical	0.000860663
58	56.999	616513.736	3097725.823	633.282	5.809	0	Normal	0.014	1	50.95	1.455762559	8.456524704	0.969726546	6.024933621	634.7377626	636.5879066	0.008509186	1.594308972	37.44692278	-2.16005E-12	1	3.369275848	19.5721234	1.559836044	2.603192252	636.6512758	636.9966688	0.000842862	0.45279691	46.49208866	-0.000957782	1	3.369275848	636.6512758	636.9966688			0	0	0	0	0.45279691	Subcritical	0.000842862
59	57.999	616513.161	3097725.004	633.242	5.782	0	Normal	0.014	1	50.95	1.4490898	8.378637222	0.965260814	6.080941166	634.6910898	636.5757914	0.008721635	1.612830205	37.65316089	-2.27374E-12	1	3.411169465	19.72338184	1.564808909	2.583228394	636.6531695	636.9932851	0.000826469	0.446556746	47.05636037	-0.000997455	1	3.411169465	636.6531695	636.9932851			0	0	0	0	0.446556746	Subcritical	0.000826469
60	58.999	616512.587	3097724.186	633.202	5.756	0	Normal	0.014	1	50.95	1.442609413	8.303659782	0.960936177	6.13584869	634.6446094	636.5635003	0.008933173	1.6310443	37.85710301	-2.38742E-12	1	3.452971317	19.8753029	1.569688276	2.563482944	636.6549713	636.9899073	0.000810511	0.440452869	47.62833531	-0.000904422	1	3.452971317	636.6549713	636.9899073			0	0	0	0	0.440452869	Subcritical	0.000810511
61	59.999	616512.012	3097723.367	633.162	5.73	0	Normal	0.014	1	50.95	1.436664882	8.232089776	0.956849267	6.189193921	634.5986649	636.5510666	0.009140978	1.648624876	38.05806932	-2.27374E-12	1	3.494745985	20.02489449	1.574347037	2.544333006	636.656746	636.9866966	0.000795298	0.434541882	48.20541105	-0.000941962	1	3.494745985	636.656746	636.9866966			0	0	0	0	0.434541882	Subcritical	0.000795298
62	60.999	616511.438	3097722.549	633.122	5.703	0	Normal	0.014	1	50.95	1.431587448	8.164343217	0.953090885	6.240550972	634.5535874	636.5385251	0.009342203	1.665250183	38.2554099	-2.27374E-12	1	3.536257808	20.16727828	1.578588206	2.526369662	636.6582578	636.9835658	0.0007813	0.428933962	48.77950301	-0.000973961	1	3.536257808	636.6582578	636.9835658			0	0	0	0	0.428933962	Subcritical	0.0007813
63	61.999	616510.863	3097721.73	633.082	5.677	0	Normal	0.014	1	50.95	1.426591273	8.098758656	0.949423839	6.29108758	634.5085913	636.5258075	0.009543049	1.681672592	38.45070444	-2.38742E-12	1	3.577704894	20.31063068	1.582760449	2.508538548	636.6597049	636.9804371	0.000767604	0.423432333	49.36126768	-0.000872587	1	3.577704894	636.6597049	636.9804371			0	0	0	0	0.423432333	Subcritical	0.000767604
64	62.999	616510.289	3097720.912	633.042	5.651	0	Normal	0.014	1	50.95	1.422022152	8.035847181	0.945945294	6.340339588	634.4640222	636.512947	0.009740611	1.697558833	38.64327074	-2.6148E-12	1	3.619153234	20.45183492	1.586728888	2.491219012	636.6611532	636.9774719	0.000754518	0.418093986	49.94775641	-0.000897064	1	3.619153234	636.6611532	636.9774719			0	0	0	0	0.418093986	Subcritical	0.000754518
65	63.999	616509.714	3097720.093	633.002	5.624	0	Normal	0.014	1	50.95	1.4182166	7.976050157	0.942747253	6.387873571	634.4202166	636.4999785	0.009931956	1.712578652	38.83245405	-2.6148E-12	1	3.660376086	20.58595511	1.59029349	2.474988396	636.6623761	636.9745865	0.000742493	0.413024495	50.53046641	-0.000911872	1	3.660376086	636.6623761	636.9745865			0	0	0	0	0.413024495	Subcritical	0.000742493
66	64.999	616509.14	3097719.275	632.962	5.598	0	Normal	0.014	1	50.95	1.414416941	7.917906037	0.93960628	6.434782095	634.3764169	636.4868359	0.010123305	1.727470407	39.01980877	-2.6148E-12	1	3.701567552	20.72137516	1.59381277	2.458813646	636.6635676	636.9717105	0.000730663	0.408035802	51.12107602	-0.000920417	1	3.701567552	636.6635676	636.9717105			0	0	0	0	0.408035802	Subcritical	0.000730663
67	65.999	616508.565	3097718.456	632.922	5.572	0	Normal	0.047	1	50.95	1.411019428	7.862200251	0.936640917	6.480374243	634.3330194	636.4734501	0.01031063	1.741803211	39.20384822	-2.72848E-12	1	3.742631649	20.85394355	1.597114424	2.443182983	636.6646316	636.9688693	0.000719416	0.403211535	51.71342496	-0.00092056	1	3.742631649	636.6646316	636.9688693			0	0	0	0	0.403211535	Subcritical	0.000719416
68	66.999	616507.991	3097717.637	632.882	5.545	0	Normal	0.033	1	50.95	1.408290342	7.808969948	0.933910733	6.524548095	634.2902903	636.4600012	0.010492434	1.755374692	39.3850629	-2.72848E-12	1	3.783524429	20.97964296	1.600027821	2.428544666	636.6655244	636.9661273	0.000709095	0.398623888	52.30157949	-0.000902778	1	3.783524429	636.6655244	636.9661273			0	0	0	0	0.398623888	Subcritical	0.000709095
69	67.999	616507.417	3097716.819	632.842	5.519	0	Normal	0.014	1	50.95	1.405483869	7.756865471	0.931199942	6.568374841	634.2474839	636.4464415	0.010675162	1.768929369	39.56511115	-2.72848E-12	1	3.824444462	21.10710899	1.60292277	2.413878662	636.6664445	636.9634277	0.00069887	0.394091214	52.89839617	-0.00086851	1	3.824444462	636.6664445	636.9634277			0	0	0	0	0.394091214	Subcritical	0.00069887
70	68.999	616506.842	3097716	632.802	5.493	0	Normal	0.014	1	50.95	1.402975677	7.706545393	0.928616769	6.611263206	634.2049757	636.4327433	0.010855156	1.782070467	39.74283282	-2.95586E-12	1	3.865317142	21.23218706	1.605624188	2.399658587	636.6673171	636.9608116	0.000689112	0.389692804	53.49762691	-0.000939558	1	3.865317142	636.6673171	636.9608116			0	0	0	0	0.389692804	Subcritical	0.000689112
71	69.999	616506.268	3097715.182	632.762	5.466	0	Normal	0.014	1	50.95	1.401107528	7.65845375	0.926252365	6.652778963	634.1631075	636.4189418	0.011029342	1.794456179	39.9175631	-2.95586E-12	1	3.905945212	21.34989653	1.607928357	2.386428428	636.6679452	636.9582123	0.000680232	0.385523483	54.09010846	-0.000970272	1	3.905945212	636.6679452	636.9582123			0	0	0	0	0.385523483	Subcritical	0.000680232
72	70.999	616505.693	3097714.363	632.722	5.44	0	Normal	0.014	1	50.95	1.399151328	7.611383225	0.923901869	6.693921261	634.1211513	636.404973	0.011204073	1.806815266	40.09082291	-3.29692E-12	1	3.946544288	21.46920093	1.610219628	2.373167039	636.6685443	636.9555943	0.000671417	0.381404062	54.69004615	-0.000936	1	3.946544288	636.6685443	636.9555943			0	0	0	0	0.381404062	Subcritical	0.000671417
73	71.999	616505.119	3097713.545	632.682	5.414	0	Normal	0.014	1	50.95	1.39745355	7.565813522	0.92165905	6.734239464	634.0794536	636.3908695	0.011376253	1.81880174	40.26192076	-3.29692E-12	1	3.987106555	21.58619489	1.6123283	2.360304827	636.6691066	636.9530535	0.000663001	0.377402411	55.29189735	-0.000917014	1	3.987106555	636.6691066	636.9530535			0	0	0	0	0.377402411	Subcritical	0.000663001
74	72.999	616504.544	3097712.726	632.642	5.387	0	Normal	0.014	1	50.95	1.396358243	7.522181855	0.919614007	6.77330075	634.0383582	636.3766662	0.011542746	1.830068852	40.43018641	-2.95586E-12	1	4.027536732	21.69634037	1.614062029	2.348322303	636.6695367	636.950608	0.000655346	0.373597055	55.88783829	-0.000992688	1	4.027536732	636.6695367	636.950608			0	0	0	0	0.373597055	Subcritical	0.000655346
75	73.999	616503.97	3097711.908	632.602	5.361	0	Normal	0.014	1	50.95	1.395143813	7.479365981	0.91756865	6.812074731	633.9971438	636.3622999	0.011709991	1.841346036	40.59713132	-3.41061E-12	1	4.067895322	21.80798682	1.615790553	2.336300018	636.6698953	636.948096	0.000647728	0.369836035	56.49029826	0.000901228	1	4.067895322	636.6698953	636.948096			0	0	0	0	0.369836035	Subcritical	0.000647728
76	74.999	616503.395	3097711.089	632.562	5.335	0	Normal	0.014	1	50.95	1.394157687	7.437831261	0.915615228	6.850115069	633.9561577	636.3478028	0.011874835	1.852283313	40.76205989	-3.41061E-12	1	4.110278044	21.92833337	1.617663873	2.323477993	636.672278	636.9474335	0.000639649	0.365905097	57.13317458	0.000892114	1	4.110278044	636.672278	636.9474335			0	0	0	0	0.365905097	Subcritical	0.000639649
77	75.999	616502.821	3097710.271	632.56	5.308	0	Normal	0.014	1	50.95	1.413664618	7.50373179	0.922363628	6.789954842	633.9736646	636.3234856	0.011553495	1.823304434	40.56873218	-3.97904E-12	1	4.109284334	21.81208125	1.612536171	2.335861463	636.6692843	636.9473806	0.000649228	0.367899741	56.94773865	0.00087836	1	4.109284334	636.6692843	636.9473806			0	0	0	0	0.367899741	Subcritical	0.000649228
78	76.999	616502.246	3097709.452	632.558	5.282	0	Normal	0.014	1	50.95	1.433394725	7.571190936	0.929118488	6.729456492	633.9913947	636.2995285	0.011238656	1.794579015	40.37689562	-4.77485E-12	1	4.108341404	21.7002593	1.607583466	2.347898212	636.6663414	636.9473111	0.000658632	0.369837971	56.77026867	0.000996189	1	4.108341404	636.6663414	636.9473111			0	0	0	0	0.369837971	Subcritical	0.000658632
79	77.999	616501.672	3097708.634	632.556	5.256	0	Normal	0.033	1	50.95	1.453930089	7.641856549	0.936059215	6.667228006	634.0099301	636.2755738	0.010922835	1.765383412	40.18281079	-5.34328E-12	1	4.107459165	21.58880537	1.602623135	2.360019423	636.6634592	636.9473374	0.000668198	0.371787211	56.59475372	0.000985103	1	4.107459165	636.6634592	636.9473374			0	0	0	0	0.371787211	Subcritical	0.000668198
80	78.999	616501.098	3097707.815	632.554	5.229	0	Normal	0.047	1	50.95	1.47588114	7.717382481	0.943357381	6.601979379	634.0298811	636.2513965	0.010599755	1.735057885	39.98353735	-6.59384E-12	1	4.106343991	21.47207273	1.597423832	2.372849638	636.660344	636.9473173	0.000678416	0.373859182	56.40967992	0.000956814	1	4.106343991	636.660344	636.9473173			0	0	0	0	0.373859182	Subcritical	0.000678416
81	79.999	616500.523	3097706.996	632.552	5.208	0	Normal	0.014	1	50.95	1.495340059	7.787731027	0.949876189	6.542342028	634.0473401	636.2289017	0.010313981	1.708160824	39.8014835	-7.84439E-12	1	4.106008897	21.38409433	1.59344754	2.382612011	636.6580089	636.9473483	0.000686287	0.37541263	56.27616494	0.000933456	1	4.106008897	636.6580089	636.9473483			0	0	0	0	0.37541263	Subcritical	0.000686287
82	80.999	616499.949	3097706.178	632.55	5.205	0	Normal	0.014	1	50.95	1.505134162	7.834223314	0.95361746	6.503516425	634.0551342	636.2108796	0.010138649	1.692490077	39.67296123	-9.32232E-12	1	4.108226076	21.38331672	1.593219309	2.382698655	636.6582261	636.9475866	0.000686468	0.375324961	56.29872383	0.000977462	1	4.108226076	636.6582261	636.9475866			0	0	0	0	0.375324961	Subcritical	0.000686468
83	81.999	616499.374	3097705.359	632.548	5.202	0	Normal	0.014	1	50.95	1.515099432	7.881547244	0.957404865	6.464466737	634.0630994	636.1930347	0.00996446	1.676785979	39.54503495	-1.10276E-11	1	4.110494651	21.38279318	1.592997856	2.382756994	636.6584947	636.9478693	0.000686628	0.375230564	56.32220564	0.000878177	1	4.110494651	636.6584947	636.9478693			0	0	0	0	0.375230564	Subcritical	0.000686628
84	82.999	616498.8	3097704.541	632.546	5.747	0	Normal	1.113	1	50.95	1.32141922	7.594196255	0.905165971	6.709070755	633.8674192	636.16159	0.011566527	1.863406297	39.86232449	-8.52651E-12	1	4.152150029	23.86240622	1.698234762	2.135157684	636.69815	636.9305098	0.000506266	0.33454838	60.62947092	0.000877237	1	4.152150029	636.69815	636.9305098			0	0	0	0	0.33454838	Subcritical	0.000506266
85	83.998	616498.21	3097703.734	632.544	5.645	0	Normal	2.784	0.999	50.95	1.378831972	7.78350648	0.926314147	6.545892925	633.922832	636.1067624	0.010676836	1.779830811	39.36334643	-1.09139E-11	1	4.142877108	23.38654127	1.678770647	2.178603471	636.6868771	636.9287891	0.000535242	0.341737519	59.75875234	0.000928686	1	4.142877108	636.6868771	636.9287891			0	0	0	0	0.341737519	Subcritical	0.000535242
86	84.999	616497.581	3097702.956	632.542	5.528	0	Normal	2.883	1.001	50.95	1.452641173	8.030200404	0.952203433	6.344798067	633.9946412	636.0464486	0.009668931	1.680753894	38.78535017	-1.53477E-11	1	4.131059538	22.83649713	1.656004346	2.231077723	636.6730595	636.9267653	0.00057165	0.350468887	58.7569682	0.000938326	1	4.131059538	636.6730595	636.9267653			0	0	0	0	0.350468887	Subcritical	0.00057165
87	85.999	616496.914	3097702.211	632.54	5.433	0	Normal	2.838	1	50.95	1.527845143	8.300782664	0.977863767	6.137975425	634.0678451	635.9880665	0.008733634	1.58544424	38.21983494	-2.31921E-11	1	4.120888616	22.38878785	1.637232364	2.275692652	636.6608886	636.9248426	0.00060385	0.357918103	57.95006972	0.000941732	1	4.120888616	636.6608886	636.9248426			0	0	0	0	0.357918103	Subcritical	0.00060385
88	86.999	616496.211	3097701.5	632.538	5.354	0	Normal	2.919	1	50.95	1.610131066	8.62064173	1.005409165	5.910232857	634.1481311	635.9285007	0.007803113	1.487097603	37.63603923	-4.11546E-11	1	4.111951348	22.01538752	1.621412969	2.314290401	636.6499513	636.922935	0.000632645	0.364384057	57.28278477	0.000936234	1	4.111951348	636.6499513	636.922935			0	0	0	0	0.364384057	Subcritical	0.000632645
89	87.998	616495.473	3097700.826	632.536	5.294	0	Normal	2.841	0.999	50.95	1.702411911	9.012568659	1.036067501	5.653216295	634.2384119	635.8673036	0.006858929	1.383339486	37.03254806	-1.05047E-10	1	4.105036889	21.73206529	1.609296991	2.344461942	636.6410369	636.9211848	0.000655774	0.369445305	56.78184976	0.000939945	1	4.105036889	636.6410369	636.9211848			0	0	0	0	0.369445305	Subcritical	0.000655774
90	88.998	616494.702	3097700.189	632.534	5.25	0	Normal	2.854	1	50.95	1.869632002	9.815568008	1.091921208	5.190733736	634.403632	635.7769101	0.005391608	1.212037848	36.1347596	-0.000163972	1	4.099995844	21.52497818	1.600371114	2.367017498	636.6339958	636.9195602	0.000673428	0.373228893	56.4196918	0.000961021	1	4.099995844	636.6339958	636.9195602			0	0	0	0	0.373228893	Subcritical	0.000673428
91	89.999	616493.9	3097699.591	632.532	5.218	0	Normal	2.845	1.001	50.95	2.13404582	11.13545109	1.173871338	4.575476969	634.6660458	635.7330687	0.00380389	1	35.64534428	-0.059149145	1	4.096494781	21.37550977	1.593880129	2.383568886	636.6284948	636.9180667	0.000686589	0.375999269	56.16182595	0.000987185	1	4.096494781	636.6284948	636.9180667			0	0	0	0	0.375999269	Subcritical	0.000686589
